elapsed_time,data
7.5752,"orientation: [0.8427, 0.0870, -0.2640, 0.4611], angular_velocity: [0.0696, 0.1391, -0.0696], linear_acceleration: [0.4023, -0.0742, 0.8789]"
7.6253,"orientation: [0.8451, 0.0840, -0.2548, 0.4625], angular_velocity: [0.0000, 0.2087, 0.1391], linear_acceleration: [0.4180, -0.0703, 0.8945]"
7.6753,"orientation: [0.8474, 0.0811, -0.2457, 0.4637], angular_velocity: [0.0696, 0.0696, -0.0696], linear_acceleration: [0.4102, -0.0703, 0.8867]"
7.7253,"orientation: [0.8495, 0.0781, -0.2369, 0.4649], angular_velocity: [-0.0696, 0.1391, 0.2087], linear_acceleration: [0.4102, -0.0742, 0.8789]"
7.7754,"orientation: [0.8515, 0.0753, -0.2283, 0.4660], angular_velocity: [0.1391, 0.2087, -0.0696], linear_acceleration: [0.4141, -0.0781, 0.8828]"
7.8253,"orientation: [0.8534, 0.0725, -0.2200, 0.4670], angular_velocity: [-0.0696, -0.0696, 0.0000], linear_acceleration: [0.4141, -0.0781, 0.8789]"
7.8753,"orientation: [0.8551, 0.0698, -0.2119, 0.4680], angular_velocity: [-0.0696, 0.0000, 0.1391], linear_acceleration: [0.4180, -0.0742, 0.8711]"
7.9253,"orientation: [0.8567, 0.0671, -0.2039, 0.4689], angular_velocity: [-0.0696, -0.2087, 0.0696], linear_acceleration: [0.4023, -0.0742, 0.8867]"
7.9753,"orientation: [0.8583, 0.0645, -0.1961, 0.4698], angular_velocity: [-0.1391, 0.0696, 0.0696], linear_acceleration: [0.4102, -0.0742, 0.8828]"
8.0253,"orientation: [0.8597, 0.0621, -0.1884, 0.4706], angular_velocity: [0.0696, -0.1391, 0.1391], linear_acceleration: [0.4141, -0.0703, 0.8906]"
8.0753,"orientation: [0.8611, 0.0596, -0.1809, 0.4714], angular_velocity: [-0.0696, 0.0696, 0.1391], linear_acceleration: [0.4141, -0.0703, 0.8867]"
8.1252,"orientation: [0.8624, 0.0572, -0.1736, 0.4721], angular_velocity: [-0.0696, -0.0696, 0.0000], linear_acceleration: [0.4102, -0.0742, 0.8906]"
8.1752,"orientation: [0.8636, 0.0548, -0.1665, 0.4728], angular_velocity: [0.0000, 0.0696, 0.0000], linear_acceleration: [0.4062, -0.0742, 0.8789]"
8.2253,"orientation: [0.8647, 0.0525, -0.1597, 0.4734], angular_velocity: [-0.0696, -0.2087, 0.0696], linear_acceleration: [0.4180, -0.0781, 0.8867]"
8.2752,"orientation: [0.8657, 0.0502, -0.1530, 0.4740], angular_velocity: [-0.1391, 0.0000, 0.2087], linear_acceleration: [0.4062, -0.0742, 0.8750]"
8.3252,"orientation: [0.8667, 0.0481, -0.1462, 0.4745], angular_velocity: [0.0000, 0.0696, 0.0000], linear_acceleration: [0.4023, -0.0664, 0.8867]"
8.3753,"orientation: [0.8676, 0.0460, -0.1399, 0.4750], angular_velocity: [0.0696, -0.1391, 0.0696], linear_acceleration: [0.4102, -0.0781, 0.8867]"
8.4252,"orientation: [0.8684, 0.0440, -0.1335, 0.4755], angular_velocity: [0.1391, 0.1391, -0.0696], linear_acceleration: [0.4102, -0.0742, 0.8867]"
8.4753,"orientation: [0.8692, 0.0420, -0.1275, 0.4759], angular_velocity: [0.0696, -0.0696, 0.0696], linear_acceleration: [0.4141, -0.0781, 0.8906]"
8.5254,"orientation: [0.8699, 0.0400, -0.1215, 0.4764], angular_velocity: [0.0000, 0.0000, 0.0696], linear_acceleration: [0.4062, -0.0742, 0.8789]"
8.5753,"orientation: [0.8705, 0.0379, -0.1158, 0.4768], angular_velocity: [-0.2087, 0.2087, 0.1391], linear_acceleration: [0.4141, -0.0820, 0.8867]"
8.6253,"orientation: [0.8712, 0.0360, -0.1101, 0.4771], angular_velocity: [-0.1391, 0.2087, -0.0696], linear_acceleration: [0.4062, -0.0703, 0.8828]"
8.6753,"orientation: [0.8718, 0.0342, -0.1047, 0.4774], angular_velocity: [-0.1391, 0.1391, 0.0000], linear_acceleration: [0.4141, -0.0703, 0.8789]"
8.7254,"orientation: [0.8724, 0.0326, -0.0994, 0.4776], angular_velocity: [0.1391, -0.0696, -0.2087], linear_acceleration: [0.4062, -0.0703, 0.8828]"
8.7753,"orientation: [0.8728, 0.0309, -0.0944, 0.4779], angular_velocity: [-0.0696, -0.1391, 0.2087], linear_acceleration: [0.4141, -0.0742, 0.8789]"
8.8253,"orientation: [0.8733, 0.0293, -0.0893, 0.4781], angular_velocity: [0.1391, 0.2087, -0.1391], linear_acceleration: [0.4102, -0.0781, 0.8867]"
8.8752,"orientation: [0.8736, 0.0277, -0.0845, 0.4784], angular_velocity: [0.0000, 0.0000, 0.2087], linear_acceleration: [0.4141, -0.0742, 0.8789]"
8.9252,"orientation: [0.8740, 0.0261, -0.0799, 0.4787], angular_velocity: [-0.1391, 0.0696, 0.2783], linear_acceleration: [0.4102, -0.0781, 0.8789]"
8.9753,"orientation: [0.8743, 0.0245, -0.0753, 0.4789], angular_velocity: [-0.0696, 0.0696, 0.0696], linear_acceleration: [0.4102, -0.0742, 0.8828]"
9.0254,"orientation: [0.8746, 0.0232, -0.0709, 0.4791], angular_velocity: [0.0696, -0.0696, 0.1391], linear_acceleration: [0.4062, -0.0703, 0.8867]"
9.0753,"orientation: [0.8749, 0.0219, -0.0666, 0.4792], angular_velocity: [-0.0696, -0.2783, 0.0000], linear_acceleration: [0.3984, -0.0625, 0.8828]"
9.1252,"orientation: [0.8751, 0.0205, -0.0624, 0.4795], angular_velocity: [0.2783, -0.0696, 0.2783], linear_acceleration: [0.4023, -0.0820, 0.8867]"
9.1753,"orientation: [0.8753, 0.0190, -0.0584, 0.4796], angular_velocity: [0.0000, 0.2087, -0.1391], linear_acceleration: [0.4141, -0.0859, 0.8828]"
9.2253,"orientation: [0.8755, 0.0178, -0.0545, 0.4797], angular_velocity: [0.0000, 0.1391, 0.1391], linear_acceleration: [0.4102, -0.0703, 0.8828]"
9.2753,"orientation: [0.8757, 0.0165, -0.0509, 0.4798], angular_velocity: [-0.0696, 0.0000, 0.0000], linear_acceleration: [0.4219, -0.0820, 0.8867]"
9.3253,"orientation: [0.8759, 0.0154, -0.0472, 0.4800], angular_velocity: [0.0000, 0.0696, 0.2087], linear_acceleration: [0.4141, -0.0664, 0.8906]"
9.3753,"orientation: [0.8760, 0.0144, -0.0437, 0.4802], angular_velocity: [0.1391, -0.0696, 0.2087], linear_acceleration: [0.4141, -0.0703, 0.8867]"
9.4253,"orientation: [0.8761, 0.0133, -0.0404, 0.4802], angular_velocity: [0.0000, 0.0696, 0.0000], linear_acceleration: [0.4141, -0.0703, 0.8828]"
9.4753,"orientation: [0.8762, 0.0123, -0.0371, 0.4803], angular_velocity: [0.0000, -0.0696, 0.1391], linear_acceleration: [0.4023, -0.0703, 0.8750]"
9.5253,"orientation: [0.8764, 0.0113, -0.0339, 0.4803], angular_velocity: [0.1391, 0.0696, -0.2783], linear_acceleration: [0.4102, -0.0742, 0.8828]"
9.5753,"orientation: [0.8765, 0.0104, -0.0309, 0.4803], angular_velocity: [0.0000, -0.1391, 0.0000], linear_acceleration: [0.4062, -0.0703, 0.8828]"
9.6252,"orientation: [0.8766, 0.0095, -0.0280, 0.4803], angular_velocity: [-0.0696, -0.2087, -0.2087], linear_acceleration: [0.4062, -0.0703, 0.8945]"
9.6753,"orientation: [0.8767, 0.0087, -0.0254, 0.4803], angular_velocity: [0.1391, -0.2087, -0.0696], linear_acceleration: [0.4180, -0.0742, 0.8750]"
9.7253,"orientation: [0.8767, 0.0077, -0.0228, 0.4804], angular_velocity: [-0.1391, 0.0696, 0.2087], linear_acceleration: [0.4141, -0.0820, 0.8789]"
9.7752,"orientation: [0.8767, 0.0069, -0.0202, 0.4805], angular_velocity: [0.0000, 0.2783, 0.0696], linear_acceleration: [0.4141, -0.0703, 0.8789]"
9.8253,"orientation: [0.8768, 0.0060, -0.0177, 0.4805], angular_velocity: [0.0000, 0.2783, 0.0000], linear_acceleration: [0.4141, -0.0742, 0.8828]"
9.8755,"orientation: [0.8769, 0.0055, -0.0153, 0.4804], angular_velocity: [0.3478, -0.0696, -0.3478], linear_acceleration: [0.4141, -0.0742, 0.8828]"
9.9253,"orientation: [0.8769, 0.0047, -0.0129, 0.4805], angular_velocity: [0.0000, 0.1391, 0.2087], linear_acceleration: [0.4062, -0.0742, 0.8828]"
9.9752,"orientation: [0.8768, 0.0039, -0.0108, 0.4807], angular_velocity: [0.0696, -0.0696, 0.4174], linear_acceleration: [0.4062, -0.0781, 0.8828]"
10.0252,"orientation: [0.8768, 0.0032, -0.0088, 0.4807], angular_velocity: [0.0000, -0.2087, 0.1391], linear_acceleration: [0.4102, -0.0781, 0.8828]"
10.0753,"orientation: [0.8769, 0.0026, -0.0069, 0.4807], angular_velocity: [-0.0696, -0.2783, -0.2087], linear_acceleration: [0.4102, -0.0742, 0.8945]"
10.1252,"orientation: [0.8769, 0.0020, -0.0051, 0.4807], angular_velocity: [0.0000, -0.0696, 0.1391], linear_acceleration: [0.4102, -0.0742, 0.8906]"
10.1753,"orientation: [0.8769, 0.0015, -0.0033, 0.4807], angular_velocity: [0.0696, -0.1391, 0.0696], linear_acceleration: [0.4102, -0.0703, 0.8789]"
